UserStoryID,CommitSHA,Author,Message,FileChanged,ChangedFunctions
US-04,6bf6a1bc48080be9269fd73c19b5b1659092e910,Nithishrish23,"US-04: Edit existing task functionality\n\nFrontend:\n- Add Edit button to each task\n- Implement inline editing mode\n- Save/Cancel buttons for editing\n- Keyboard shortcuts (Enter to save, Escape to cancel)\n\nBackend:\n- Implement PUT /api/tasks/<id> endpoint\n- Update task name",src/App.jsx,
US-05,f285551b93807f49c60a53b289998cded4bf1556,lingesh-Codedtx,US-05: Delete task functionality\n\nFrontend:\n- Add Delete button to each task\n- Confirmation dialog before deletion\n- Remove task from UI after deletion\n\nBackend:\n- Implement DELETE /api/tasks/<id> endpoint\n- Remove task from storage,backend/app.py,delete_task
US-05,f285551b93807f49c60a53b289998cded4bf1556,lingesh-Codedtx,US-05: Delete task functionality\n\nFrontend:\n- Add Delete button to each task\n- Confirmation dialog before deletion\n- Remove task from UI after deletion\n\nBackend:\n- Implement DELETE /api/tasks/<id> endpoint\n- Remove task from storage,src/App.jsx,
US-06,c8017a83851f90db63a9b0d2db340ef676341f38,Nithishrish23,US-06: Clear completed tasks functionalit\nFrontend:\n- Add Clear Completed button (shown only when completed tasks exist)\n- Confirmation dialog before clearing\n- Remove all completed tasks from UI\n\nBackend:\n- Implement DELETE /api/tasks/completed endpoint\n- Filter out all completed tasks,backend/app.py,clear_completed
US-06,c8017a83851f90db63a9b0d2db340ef676341f38,Nithishrish23,US-06: Clear completed tasks functionalit\nFrontend:\n- Add Clear Completed button (shown only when completed tasks exist)\n- Confirmation dialog before clearing\n- Remove all completed tasks from UI\n\nBackend:\n- Implement DELETE /api/tasks/completed endpoint\n- Filter out all completed tasks,src/App.jsx,
US-07,2774fbd48d2ec7dad8db2a48f4fdd081b82b3d35,lingesh-Codedtx,US-07: Persist tasks using localStorage\n\nFrontend:\n- Load tasks from localStorage on app mount\n- Auto-save tasks to localStorage on any change\n- Fallback to API if localStorage is empty\n- Tasks persist after page refresh\n\nBackend:\n- No changes (already persists in memory),src/App.jsx,
US-08,f1e78d02d14c3578ac37b6b745cb64b69802717a,Nithishrish23,"US-08: Filter tasks by status (All/Pending/Completed)\n\nFrontend:\n- Add filter buttons (All, Pending, Completed)\n- Update task display based on selected filter\n- Active filter highlighted with blue background\n\nBackend:\n- Add query parameter support to GET /api/tasks\n- Filter tasks by status when ?status=pending or ?status=completed",backend/app.py,
US-08,f1e78d02d14c3578ac37b6b745cb64b69802717a,Nithishrish23,"US-08: Filter tasks by status (All/Pending/Completed)\n\nFrontend:\n- Add filter buttons (All, Pending, Completed)\n- Update task display based on selected filter\n- Active filter highlighted with blue background\n\nBackend:\n- Add query parameter support to GET /api/tasks\n- Filter tasks by status when ?status=pending or ?status=completed",src/App.jsx,
US-09,9bcf5e456a7fd4d923b8094c53a76bce4bc29049,lingesh-Codedtx,"US-09: Add task counter display\n\nFrontend:\n- Display pending, completed, and total task counts\n- Counter updates dynamically with task changes\n- Clean card design with visual separators\n\nBackend:\n- Add GET /api/tasks/count endpoint\n- Return pending, completed, and total counts",backend/app.py,get_task_count
US-09,9bcf5e456a7fd4d923b8094c53a76bce4bc29049,lingesh-Codedtx,"US-09: Add task counter display\n\nFrontend:\n- Display pending, completed, and total task counts\n- Counter updates dynamically with task changes\n- Clean card design with visual separators\n\nBackend:\n- Add GET /api/tasks/count endpoint\n- Return pending, completed, and total counts",src/App.jsx,
US-10,d3b8c80cb09521ef6ca5da88adc26adfd1fd59f7,Nithishrish23,"US-10: Polish UI with responsive design\nFrontend:\n\nFully responsive layout for mobile, tablet, and desktop\nImproved visual hierarchy with better spacing\nEnhanced color scheme with gradients\nBetter touch targets for mobile users\nSmooth transitions and hover effects\nEmpty state with icon\nProfessional shadows and rounded corners\nOptimized button sizes for different screens\n\nDesign improvements:\n\nMobile-first approach\nReadable typography across all devices\nConsistent padding and margins\nAccessible form controls",src/App.jsx,
